Filial;Código de Barras;;;Quantidade
ES - VITORIA 153;7898464625777;;;10
ES - VITORIA 154;7898464625791;;;8
ES - VITORIA 155;7898464625807;;;7
ES - VITORIA 156;7898464625814;;;17
ES - VITORIA 157;7898464625821;;;15
ES - VITORIA 158;7898464625838;;;11
ES - VITORIA 159;7898464625845;;;24
ES - VITORIA 160;7898464625852;;;13
ES - VITORIA 161;7898464625869;;;11
ES - VITORIA 162;7898464625906;;;33
ES - VITORIA 163;7898464625913;;;39
ES - VITORIA 164;7898464625920;;;19
ES - VITORIA 165;7898464626323;;;1
ES - VITORIA 166;7898464626385;;;19
ES - VITORIA 167;7898464626392;;;17
ES - VITORIA 168;7898464626408;;;21
ES - VITORIA 169;7898464626415;;;34
ES - VITORIA 170;7898464626422;;;16
ES - VITORIA 171;7898464626828;;;1
ES - VITORIA 172;7898464627399;;;15
ES - VITORIA 173;7898464627429;;;3
ES - VITORIA 174;7898464627436;;;1
ES - VITORIA 175;7898464627450;;;14
ES - VITORIA 176;7898464627535;;;5
ES - VITORIA 177;7898464627542;;;2
ES - VITORIA 178;7898464627559;;;2
ES - VITORIA 179;7898464627603;;;3
ES - VITORIA 180;7898464627610;;;2
ES - VITORIA 181;7898464627672;;;1
ES - VITORIA 182;7898464627818;;;13
ES - VITORIA 183;7898464627825;;;13
ES - VITORIA 184;7898464627856;;;10
ES - VITORIA 185;7898464627962;;;23
ES - VITORIA 186;7898464628372;;;13
ES - VITORIA 187;7898464628426;;;40
ES - VITORIA 188;7898464628525;;;35
ES - VITORIA 189;7898464628532;;;30
ES - VITORIA 190;7898464628594;;;2
ES - VITORIA 191;7898464628600;;;36
ES - VITORIA 192;7898464628617;;;37
ES - VITORIA 193;7898464628648;;;43
ES - VITORIA 194;7898464628662;;;30
ES - VITORIA 195;7898464628709;;;64
ES - VITORIA 196;7898464628983;;;25
ES - VITORIA 197;7898464628990;;;15
ES - VITORIA 198;7898464629003;;;244
ES - VITORIA 199;7898464629010;;;18
ES - VITORIA 200;7898464629041;;;21
ES - VITORIA 201;7898464629058;;;3
ES - VITORIA 202;7898464629065;;;26
ES - VITORIA 203;7898464629089;;;30
ES - VITORIA 204;7898464629225;;;23
ES - VITORIA 205;7898464629232;;;24
ES - VITORIA 206;7898464629249;;;15
ES - VITORIA 207;7898464629256;;;24
ES - VITORIA 208;7898464629263;;;16
ES - VITORIA 209;7898464629317;;;6
ES - VITORIA 210;7898464629324;;;5
ES - VITORIA 211;7898464629331;;;6
ES - VITORIA 212;7898464629348;;;155
ES - VITORIA 213;7898464629423;;;22
ES - VITORIA 214;7898464629430;;;10
ES - VITORIA 215;7898464629508;;;17
ES - VITORIA 216;7898464629515;;;13
ES - VITORIA 217;7898464629553;;;18
ES - VITORIA 218;7898464629591;;;1
ES - VITORIA 219;7898464629607;;;1
ES - VITORIA 220;7898464629621;;;17
ES - VITORIA 221;7898464629638;;;11
ES - VITORIA 222;7898464629652;;;22
ES - VITORIA 223;7898464629676;;;12
ES - VITORIA 224;7898464629683;;;42
ES - VITORIA 225;7898464629690;;;10
ES - VITORIA 226;7898464629713;;;60
